fid,ft_act_2week_work_active_period_ls_hour0_4,ft_act_month_rest_active_period_ls_hour0_4,ft_act_month_work_active_period_ls_hour0_4,ft_app_act_30d_allcate_cnt,ft_app_act_30d_allcate_days,ft_app_act_30d_allcate_times,ft_app_act_30d_debit_credit_cnt,ft_app_act_30d_debit_credit_days,ft_app_act_30d_debit_credit_times,ft_app_act_30d_game_days_avg,ft_app_act_30d_live_days,ft_app_act_30d_live_times,ft_app_act_30d_messaging_social_days,ft_app_act_30d_messaging_social_times,ft_app_act_30d_micro_loan_cnt,ft_app_act_30d_micro_loan_days,ft_app_act_30d_micro_loan_times,ft_app_act_30d_office_business_days,ft_app_act_30d_photo_cnt_m_rate,ft_app_act_30d_photo_days,ft_app_act_30d_photo_times,ft_app_act_30d_short_video_cnt_m_rate,ft_app_act_30d_short_video_days,ft_app_act_30d_short_video_times,ft_app_ins_bank_cnt_rate,ft_app_ins_current_bank_cnt,ft_app_ins_current_child_rearing_cnt,ft_app_ins_current_credit_card_cnt,ft_app_ins_current_debit_credit_cnt,ft_app_ins_current_debit_credit_cnt_cv,ft_app_ins_current_debit_credit_cnt_m_rate,ft_app_ins_current_discounts_cnt,ft_app_ins_current_examination_cnt,ft_app_ins_current_finance_cnt,ft_app_ins_current_finance_cnt_cv,ft_app_ins_current_finance_cnt_m_rate,ft_app_ins_current_fitness_cnt,ft_app_ins_current_fitness_cnt_m_rate,ft_app_ins_current_game_cnt,ft_app_ins_current_imei_alter_cnt,ft_app_ins_current_invest_cnt,ft_app_ins_current_life_casual_cnt,ft_app_ins_current_live_cnt,ft_app_ins_current_lottery_cnt,ft_app_ins_current_malicious_cnt,ft_app_ins_current_market_cnt,ft_app_ins_current_messaging_social_cnt,ft_app_ins_current_micro_loan_cnt,ft_app_ins_current_news_reading_cnt,ft_app_ins_current_office_business_cnt,ft_app_ins_current_online_gamble_cnt,ft_app_ins_current_online_shopping_cnt,ft_app_ins_current_payment_cnt,ft_app_ins_current_photo_cnt,ft_app_ins_current_risk_cnt,ft_app_ins_current_short_video_cnt,ft_app_ins_current_shortterm_loan,ft_app_ins_current_travel_cnt,ft_app_ins_current_video_cnt,ft_app_ins_debit_credit_cnt_rate,ft_app_ins_finance_cnt_rate,ft_app_ins_history_bank_cnt,ft_app_ins_history_child_rearin_cnt,ft_app_ins_history_credit_card_cnt,ft_app_ins_history_debit_credit_cnt,ft_app_ins_history_discounts_cnt,ft_app_ins_history_examination_cnt,ft_app_ins_history_finance_cnt,ft_app_ins_history_fitness_cnt,ft_app_ins_history_gamble_cnt,ft_app_ins_history_game_cnt,ft_app_ins_history_imei_alter_cnt,ft_app_ins_history_insurance_cnt,ft_app_ins_history_invest_cnt,ft_app_ins_history_life_casual_cnt,ft_app_ins_history_live_cnt,ft_app_ins_history_lottery_cnt,ft_app_ins_history_market_cnt,ft_app_ins_history_messaging_social_cnt,ft_app_ins_history_micro_loan_cnt,ft_app_ins_history_money_management_cnt,ft_app_ins_history_news_reading_cnt,ft_app_ins_history_office_business_cnt,ft_app_ins_history_online_gamble_cnt,ft_app_ins_history_online_shopping_cnt,ft_app_ins_history_payment_cnt,ft_app_ins_history_photo_cnt,ft_app_ins_history_risk_cnt,ft_app_ins_history_short_video_cnt,ft_app_ins_history_shortterm_loan,ft_app_ins_history_shortterm_loan_m_rate,ft_app_ins_history_simulator_cnt,ft_app_ins_history_tally_cnt,ft_app_ins_history_travel_cnt,ft_app_ins_history_video_cnt,ft_app_ins_lottery_cnt_rate,ft_app_ins_micro_loan_cnt_rate,ft_app_ins_online_gamble_cnt_rate,ft_cross_ins_credit_ins_largest_cate_cnt,ft_cross_ins_wifilocating_tag_credit_card,ft_cross_lbs_4wr_act_cnt_app_4w_unins,ft_cross_tag_city_level1_housing_price,ft_cross_tag_city_level3_price,ft_cross_tag_city_level4_price,ft_dev_battery_all_30d_whole_allday_hours,ft_dev_battery_all_90d_whole_allday_hours,ft_dev_battery_charge_30d_weekday_allday_hours,ft_dev_battery_charge_30d_whole_allday_hours,ft_dev_battery_charge_90d_weekday_allday_hours,ft_dev_battery_charge_90d_weekend_allday_hours,ft_dev_battery_charge_90d_whole_allday_hours,ft_dev_battery_full_30d_weekday_allday_hours,ft_dev_battery_full_30d_weekend_allday_hours,ft_dev_battery_full_90d_weekday_allday_hours,ft_dev_battery_full_90d_weekend_allday_hours,ft_dev_battery_full_90d_whole_allday_hours,ft_dev_battery_use_30d_weekday_allday_hours,ft_dev_battery_use_30d_weekday_nighttime_hours,ft_dev_battery_use_30d_weekend_allday_hours,ft_dev_battery_use_30d_whole_allday_hours,ft_dev_battery_use_30d_whole_nighttime_hours,ft_dev_battery_use_90d_weekday_nighttime_hours,ft_dev_battery_use_90d_weekend_allday_hours,ft_dev_battery_use_90d_whole_allday_hours,ft_dev_battery_use_90d_whole_nighttime_hours,ft_dev_deprecia_price,ft_dev_ip_30d_weekday_closetime_cnt,ft_dev_ip_30d_weekday_nighttime_cnt,ft_dev_ip_30d_whole_nighttime_cnt,ft_dev_market_price,ft_dev_wifimac_30d_weekday_nighttime_cnt,ft_dev_wifimac_30d_weekday_nighttime_days,ft_dev_wifimac_30d_weekend_allday_cnt,ft_dev_wifimac_30d_whole_closetime_cnt,ft_dev_wifimac_30d_whole_nighttime_cnt,ft_dev_wifimac_30d_whole_nighttime_days,ft_finance_score_c_rule,ft_finance_score_e_rule,ft_gezhen_multi_loan_level,ft_gezhen_multi_loan_score,ft_gz_black_list,ft_gz_car_price,ft_gz_income_1,ft_ins_app_uninstall_category_190000,ft_lbs_same_night_stay_wifimac_cnt,ft_safe_score_c_rule,ft_safe_score_f_rule,ft_stable_imsi_changes,ft_tag_age,ft_tag_asset_management,ft_tag_banking,ft_tag_consumption_level,ft_tag_consumption_range,ft_tag_credit_card,ft_tag_education,ft_tag_gender,ft_tag_occupation_office,ft_tag_parent_0to2y,ft_tag_parent_3to6y,ft_tag_parent_k1tok6,ft_tag_parent_k7tok12,ft_tag_stock
4b536fb97c171aa59cc785afe40b8043,1,,1,1,13,74,0,0,0,0.0000,0,0,0,0,0,0,0,0,,0,0,,0,0,0.0000,0,0,0,0,,,2,0,2,0.0000,1.0000,1,1.0000,0,0,0,2,0,0,0,4,4,0,0,1,0,6,2,2,0,1,,2,3,0.0000,0.5000,1,0,0,0,3,0,4,1,0,0,0,0,1,2,0,0,4,4,0,0,3,1,0,7,2,3,0,2,,,0,0,3,4,0.0000,0.0000,0.0000,20,,8,,,,39,66,7,10,13,6,19,2,0,2,0,2,21,1,7,28,1,1,11,51,1,,1,1,1,,1,1,1,1,1,1,545,560,none,0.418,,,,0,2.5,545,10,2.5,25-34,0,0,3,9,0,,0,0,0,0,0,0,0
3112d71d7515e1ba1a66e627c901653e,,,,1,4,162,0,0,0,0.0000,0,0,0,0,0,0,0,4,,0,0,,0,0,0.6667,2,0,0,0,,,0,5,3,0.2020,1.2857,2,1.2000,0,0,0,2,0,0,0,3,3,0,4,4,0,4,1,0,0,0,0,1,5,0.0000,0.4286,3,0,0,1,8,18,7,3,0,4,0,0,0,21,1,0,16,5,1,1,15,5,0,29,1,7,0,3,0,,0,0,14,21,0.0000,0.0000,0.0000,20,,9,,10,,1,4,0,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,,,,2,,,,,,,542,560,none,0.3526,,,,0,2.5,545,10,2.5,18-24,0,1,2,6,0,,0,0,0,0,0,0,0
5be712900071877770464504a4a72090,,,,1,5,68,0,0,0,0.0000,0,0,0,0,0,0,0,0,,0,0,,0,0,0.5000,1,0,0,0,,,1,0,2,0.0000,1.0000,0,,0,0,0,4,0,0,0,1,2,0,1,1,0,2,1,0,0,0,0,3,0,0.0000,0.4000,2,0,0,1,1,0,5,0,0,5,0,0,0,8,1,0,4,5,0,0,1,3,0,5,2,1,0,1,1,1.0000,0,0,5,6,0.0000,0.0000,0.0000,20,,1,,10,,17,84,4,5,15,3,18,0,0,1,0,1,15,0,1,16,0,4,20,76,4,,1,0,0,,0,0,0,1,0,0,545,560,none,0.369,,,,0,2.0,545,10,3.0,25-34,0,1,2,8,0,,1,1,0,0,0,0,0
7bddf0cc939d0c09600365376b1bc477,,,,1,1,3,0,0,0,0.0000,0,0,0,0,0,0,0,0,,0,0,,0,0,1.0000,4,1,2,0,,,2,2,9,0.0488,0.9310,4,1.2000,1,0,0,1,0,0,0,5,4,0,0,1,0,9,2,4,0,1,0,2,5,0.0000,0.9000,4,1,2,0,2,2,10,4,0,2,0,0,0,1,0,0,5,4,0,0,0,1,0,9,2,5,0,2,0,,0,0,2,6,0.0000,0.0000,0.0000,22,3,6,,10,,5,9,0,0,0,0,0,0,0,0,0,0,4,0,1,5,0,0,2,9,0,,,,,,,,,,,,545,560,none,0.22,,,,0,2.5,545,10,3.0,25-34,1,1,3,10,1,,0,0,0,0,1,0,0
d7afd72f8e9ed833794c467fe2b39397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,2.5,,2,2.5,45+,0,0,3,,0,,1,0,0,0,0,0,1
12a1536f8c236fb9ae50e0de15113150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,2,2.5,,0,0,3,,0,,,0,0,0,0,0,0
c6b3993ad55c69b06294b4f92648233a,,,,,,,,,,0.0000,,,,,,,,,,,,,,,0.0000,0,2,0,0,,,0,6,0,,,0,,4,0,0,1,1,0,0,0,3,0,1,2,0,0,0,1,0,1,0,0,3,0.0000,0.0000,0,2,0,0,1,10,1,1,0,10,0,0,0,4,1,0,2,4,0,0,1,4,0,3,1,4,0,2,0,,0,0,0,6,0.0000,0.0000,0.0000,21,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545,555,low,0.5,,,,,2.5,546,6,2.5,35-44,0,0,2,4,0,,0,0,0,0,1,0,0
d8a34a2bf08d06bad0de322c862bbd08,,,,2,4,15,0,0,0,0.0000,0,0,0,0,0,0,0,0,,0,0,,0,0,0.0000,0,1,0,0,,,2,1,1,0.0000,1.0000,1,1.0000,0,0,0,2,0,0,0,5,2,0,0,0,0,7,1,3,0,2,0,3,4,0.0000,0.0250,0,4,4,25,7,3,40,2,0,2,0,0,1,7,0,0,8,4,18,0,5,3,0,16,3,4,0,3,6,1.0000,0,1,4,13,0.0000,0.0000,0.0000,21,2,6,,,10,11,26,1,1,3,1,4,0,0,0,0,0,7,2,3,10,2,2,11,23,3,0,2,1,1,2,1,1,2,2,1,1,556,565,middle,0.6649,,,,0,2.5,550,10,3.0,25-34,0,0,3,8,0,,0,0,1,0,0,0,0
13ef37842634ac5bd4c1eaf72f88efd9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,13,,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,999,,2.5,,1,2.5,18-24,1,0,2,,0,,1,1,0,0,0,0,0
721cfc3ab634bbc77bb7a416177b02d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,999,,2.5,,0,2.5,,,,,,,,,,,,,,
