phone_md5,ft_tag_gender,ft_tag_marrige,parent,ft_lbs_same_night_stay_wifimac_cnt,ft_tag_occupation_office,ft_tag_province,ft_tag_city,ft_tag_city_tier,ft_asset_score_a_rule,ft_asset_score_b_rule,ft_asset_score_c_rule,ft_asset_score_d_rule,ft_asset_score_e_rule,ft_asset_score_f_rule,ft_tag_p2p,ft_tag_stock,ft_tag_asset_management,ft_tag_bookkeeping,ft_tag_banking,ft_tag_credit_card,ft_tag_lottery,ft_stable_score_a_rule,ft_stable_score_b_rule,ft_stable_score_c_rule,ft_stable_score_d_rule,ft_stable_score_e_rule,ft_stable_score_f_rule
b8bccc69dfe54b8bb7af79c38cd584bc,1,2,1,3,0,33000000,33090000,4,548,4,546,5,549,2,0,1,1,0,0,0,1,592,12,558,11,580,10
29d3373e018e85396294c24506d502de,1,0,1,2.5,0,33000000,33020000,2,553,5,552,5,549,2,0,1,1,0,1,0,0,535,4,549,6,548,7
5f5dc4b8d07d96272c2b53fba4a232d7,1,2,1,2.5,1,42000000,42020000,4,558,5,551,4,549,1,0,1,0,0,1,0,0,575,10,563,8,547,7
be591cda283c1197d2b7f74e0d7f1022,1,1,0,2.5,0,44000000,44190000,2,549,6,554,5,549,2,3,0,0,0,0,0,0,553,9,555,9,554,8
23c839efba8125b5a2c75ec0243f1965,1,2,0,2.5,1,33000000,33030000,2,539,2,541,4,549,2,0,1,1,0,1,0,0,540,6,549,6,551,8
85ba9fcd5c604099b6f19c11e2f34c89,1,2,0,2.5,0,32000000,32130000,4,543,4,554,6,549,3,0,0,0,0,1,0,0,551,6,548,6,538,5
bd037e8e06454dd4dfff270e89ea2831,1,2,1,2.5,0,14000000,14010000,2,549,6,550,5,549,2,0,1,0,0,1,0,0,558,4,557,8,543,5
4bb7d7c57a8d6a195c28d6f28e3f98b5,1,2,0,2.5,1,13000000,13010000,2,557,6,548,5,560,3,0,0,0,0,0,0,0,578,11,564,8,549,9
a8e1010e9e229370a2286049abe5bd5a,1,2,0,3,1,32000000,32010000,2,523,0,528,3,545,2,0,1,1,0,1,0,0,535,3,556,9,547,8
da1919c6af0c3339abd2e0a0904de97f,1,2,0,3,1,33000000,33060000,3,558,5,555,4,549,3,0,0,0,0,1,0,0,553,8,554,12,548,9
e25ee2377e38d21f063586fdd48813af,1,2,0,2.5,0,44000000,44010000,3,558,5,557,5,556,2,0,1,0,0,0,0,0,542,3,545,6,532,3
81f1dbdb8bcb2005961b74cf8b8ef797,1,2,0,3,1,44000000,44030000,1,551,2,546,3,549,2,0,1,1,0,1,1,0,542,3,546,8,558,8
dc56ab478a0f8bb8085363ddc7488d8e,1,2,1,2.5,0,41000000,41010000,2,548,2,546,2,547,1,0,1,0,0,1,0,0,574,8,550,6,542,7
622d6d9ee27583045d0dd17808ae7244,1,2,0,3,1,33000000,33010000,2,543,4,548,5,547,2,0,1,0,0,1,0,0,535,4,549,8,555,9
a0f441c485e911caba37151c8ad21140,1,0,1,3,1,32000000,32020000,2,547,2,545,3,563,3,0,1,1,0,1,1,0,544,4,548,8,562,9
352a42b94abbf3e6df6434f11690f916,1,2,0,3,0,32000000,32050000,2,553,5,552,5,549,2,3,1,1,0,1,1,1,553,9,555,10,559,10
3c3e6e043c95e85152cd8bcdccf85c65,1,1,0,2.5,1,33000000,33030000,2,538,2,541,4,547,1,0,0,0,0,1,0,0,562,5,542,5,551,7
abf609dd53f881de7d3ee637d70b3498,1,1,0,3,1,36000000,36090000,4,539,3,541,3,547,0,0,1,1,0,1,0,0,561,8,549,9,552,7
cf5a286b0dd414ce8d2151d8856d9fe8,1,2,0,2.5,1,32000000,32020000,2,548,3,557,3,547,2,0,1,0,0,1,0,0,539,2,546,8,538,5
33691b5ecb73d7094ffa78d4b28de516,1,2,1,2.5,0,44000000,44030000,1,558,5,548,4,549,1,0,0,1,0,1,0,0,575,9,549,5,535,5
a5a3aa7f592697fa700050246fe75737,1,2,0,2.5,0,32000000,32010000,2,549,6,547,5,549,2,0,0,1,0,1,0,0,557,8,552,6,534,3
10c78f5ba54c4f0d2c2330ab0cbc4059,1,2,0,2.5,1,37000000,37070000,3,543,4,555,4,549,4,0,1,0,0,1,0,0,540,7,555,9,554,10
1b6ca1315bc697191c9576594ce9d5b0,1,1,0,2.5,1,35000000,35010000,2,533,1,539,3,563,3,0,0,0,0,1,0,0,536,4,546,6,574,8
0dc5ec0ae4b99b33c7ac34ebc8cb57d7,1,2,0,2,0,36000000,36010000,2,553,5,553,4,547,1,1,1,1,0,1,0,0,557,6,559,7,552,9
534b165c88259dab79c39c8d7bbf4be8,0,2,0,2.5,0,31000000,31000000,1,537,1,544,3,549,2,0,1,1,0,1,0,0,558,7,550,6,540,8
90fe5a507751f078b3515eaf0ae902e0,1,2,0,2.5,1,32000000,32060000,3,552,4,546,5,549,2,3,1,1,0,1,1,0,556,9,554,9,545,8
53840223c3dda4146ff70ad673e94c8d,1,1,0,2.5,0,33000000,33010000,2,549,5,542,4,549,1,0,1,0,0,1,0,0,556,4,553,6,542,7
e009c1a4f1fd7c6f1cca18b7a6232260,1,2,0,2.5,0,44000000,44190000,2,553,4,548,4,549,1,0,1,1,0,1,0,0,557,10,555,9,545,7
c562dbee61e588b36e1d8f470dde95a2,1,2,0,2.5,1,23000000,23010000,2,531,2,545,4,541,1,0,1,1,0,0,0,0,532,4,549,6,552,8
99331b6beb8d0ef0e6a8f0e3a7afa0c9,1,1,0,2.5,1,33000000,33010000,2,539,3,541,3,547,0,0,1,1,0,0,0,0,552,7,549,6,538,4
0d480f83eee6d1c91cb9177265587341,1,1,0,2.5,1,37000000,37020000,2,543,3,551,2,541,2,0,1,1,0,1,1,0,556,6,557,7,565,6
397dd6b7eb6c4ff05067d153c51bdb52,1,2,1,3,1,37000000,37020000,2,557,3,551,4,549,3,0,0,1,0,1,0,0,549,5,547,9,551,6
305ebf711293ad656a9ce8264d75503f,1,0,0,2.5,1,37000000,37070000,3,548,5,550,6,549,3,0,1,1,0,1,1,0,559,10,554,9,548,10
4a4df40e42c7647d46dfaca4d150496a,1,2,0,2.5,0,32000000,32030000,3,544,2,544,3,549,3,0,1,1,0,1,0,0,551,8,555,9,554,9
633e16ea9a41ba5b2501cc780b17543e,1,2,1,2.5,1,31000000,31000000,1,538,1,541,1,563,2,3,1,1,0,1,0,0,555,6,554,6,544,9
4ac17b597330b34cffb4e04b7d55ca35,1,2,0,2.5,1,34000000,34010000,2,538,2,548,4,547,1,3,1,1,0,1,1,0,558,7,557,6,533,4
e67aaa47d95349a6a9827fa3ebfbbb16,1,2,1,2.5,0,35000000,35050000,3,549,5,542,4,549,1,3,0,1,0,1,0,0,565,10,555,8,545,7
26a98aed0b80b7054f8dfec82bc08c29,1,2,0,2.5,0,32000000,32040000,3,557,4,551,5,549,2,0,1,0,0,0,0,0,551,6,563,11,557,9
7908f49c44c0b9790e100f5b7cbf8cca,1,2,0,2,0,44000000,44190000,2,558,5,555,4,549,1,1,1,1,0,1,1,0,568,8,564,12,574,12
7185a110a338e18a4afaed9dafccdbd1,1,2,1,2.5,0,43000000,43010000,2,549,5,546,4,549,1,0,0,0,0,0,0,0,576,8,563,10,552,8
54b0639e6563d341ae421bd8d5eee8ba,1,2,0,2.5,0,32000000,32020000,2,539,2,545,4,547,1,0,0,1,0,1,1,0,552,4,557,8,546,6
e9f588b243e0d810102acf8922fb5675,1,1,0,2.5,0,42000000,42060000,4,553,4,551,4,549,1,3,1,1,0,1,0,0,583,10,559,11,554,10
2c688b0ae43fa058870fe3afa75fb7e8,1,1,0,2.5,1,42000000,42010000,2,549,6,547,5,549,2,0,1,0,0,0,0,0,555,5,543,5,544,6
657e14673427d8ce13ff3a4177399bc9,1,2,0,2.5,0,33000000,33010000,2,552,4,550,5,547,2,0,0,0,0,1,0,0,560,5,558,8,555,5
8e837ea56509ed4178fde3d83bb71cb7,1,0,1,2.5,1,44000000,44010000,1,548,3,546,3,547,0,3,1,1,1,1,0,0,552,6,549,8,537,4
82cb23e6787c8d1b80505393909479d2,1,2,0,2.5,1,35000000,35020000,2,543,3,543,5,549,2,0,1,1,0,1,0,0,571,8,558,7,532,6
6df4ce34c2058e9fd1564d6112395da1,1,1,0,2.5,0,32000000,32040000,2,551,3,541,4,557,2,0,0,0,0,0,0,0,570,9,551,6,540,6
e513807a9290628943da4bf9132ce479,1,2,0,2.5,0,44000000,44030000,1,551,3,548,5,549,2,3,1,1,0,1,0,0,578,9,563,10,552,7
2c8cc03322bce031beb98704166adbda,1,1,0,3,0,44000000,44060000,2,548,4,548,4,563,3,0,0,0,0,1,0,0,552,4,546,8,547,6
b5af3e45c52309f0c45cd6cad7d15f57,1,1,0,2.5,1,31000000,31000000,1,539,3,548,3,547,0,0,1,1,0,1,1,0,552,7,549,6,538,4
55a379229959dab7db9ed962f1ed0bea,1,1,0,2.5,0,13000000,13060000,3,543,3,543,5,549,2,3,1,1,0,1,1,0,567,10,551,6,549,9
f7740995e71c2fb3a3e432de1494f7de,1,0,0,2.5,0,44000000,44030000,1,553,5,549,4,547,1,0,1,0,1,1,1,0,546,5,549,6,548,6
aad09555ff68dead5ffb29d76ae8beb3,0,2,0,2.5,0,44000000,44130000,3,565,6,552,5,560,3,0,0,0,0,0,0,0,569,11,555,8,548,8
